,alpha,beta,lambda
1,0.01406614194818895,0.02293165074127394,0.005454240973986481
2,1528.0685637537563,11712.72211292786,0.04825373788407147
3,0.019380792544031952,0.02792116679281316,0.004182686745240309
4,1.8318114760345519,482.84295245959015,0.01695645624972468
5,0.022925468989148896,0.026106980600345775,0.006246495414484726
6,0.01987956938437183,0.024381910824682582,0.006295589180298914
7,1.460586549712189,698.318844576111,0.024634210680759355
8,0.2899565146441551,51.142657040119,3.68969013703266e-08
9,0.3481534907155821,0.9527062777622721,0.0161620535522171
10,0.29754999661398496,0.7909185922387383,0.015074128968833082
11,0.4468864992172507,9.157189868761957,0.023501641285520465
12,0.0,644.6750075122782,0.022624381597022205
13,1.4787585821764664,414.2837767568005,0.01655210554279117
14,0.4467231280064179,2.7758724001533657,0.058549606676203146
15,0.13777871507672357,0.44681137638237356,0.015321110932472204
16,0.21262509141606153,741.6638305499906,0.02594506153488636
17,0.6541833109849065,1174.9665189093562,0.04136273324261803
18,0.07279539104707013,89.48992390089907,4.6952259722616654e-08
19,0.7465736534710377,276.3083752525663,0.009504410842289158
20,96.72038048042022,931288.9925227362,0.013235951788244864
22,0.2378229303324445,894.3037859380121,0.031002108257609382
23,0.4509632824775716,385.14778182638344,0.013209094262859107
24,0.8003923251862788,779.9944824251917,0.02777384598331692
25,0.027598950115100267,0.04476238709953535,0.010519224428601972
26,1.4195564407469232,551.0521724386607,0.018965684307659048
27,801.4947537689837,100169.39586155464,0.019724221806760363
28,0.9976417303512439,1091.6405648392629,0.03903224927596036
29,0.2771204623283682,926.4099391792686,0.03225355137347192
30,0.4791156263579655,692.1125414201036,0.023785640398865094
31,0.6844619401368749,987.0890513795641,0.03462793416639531
32,0.3850616781302866,3.407488751539034,0.03245555673131856
33,0.8630286595150524,1044.8711249604141,0.036957478801345776
34,0.06414899429596177,57.231718788463,1.5658617647461583e-07
36,0.7132632816449772,1067.7578615290404,0.03835779635037334
37,0.8871186700680378,1026.5006943520389,0.03578025092825151
38,1.029462367572542,603.317146916758,0.020978315529612622
39,0.0582265108914813,0.12244898603176158,0.03164814798333078
40,0.3317847712251456,927.5598104113521,0.03298978166464342
41,0.01529746883996293,0.018638093936855504,0.0016192916724837062
42,1.9239956261641893,735.8221059633458,0.025235161352316165
43,1.784001196215531,416.1072545268639,0.009929039603226554
44,1.4005444290999784,650.8172745335419,0.02309773799634942
45,0.3059030455499509,1.4952674203998262,0.02479647669931206
46,0.6777666530114891,1234.6626937676651,0.043395207214847666
47,0.5903181225628319,135.72484842464357,0.05139875038929009
48,0.29689234034465684,0.7836673191773318,0.02093345568702001
49,0.023294650675716636,0.02921054565791297,0.005291430645637479
50,0.8144527280386576,570.1183860964354,0.019480525291640537
51,0.1323117038731818,0.7771001622534001,0.012281889866728467
52,0.012398930073430169,0.017577271030100063,0.006377488136782217
53,0.025474042146878945,0.035077544940720844,0.0044163076173466195
54,0.044869760034359066,0.17779670432049363,0.01386159218374737
55,0.20881695709357861,1325.7731117078436,0.04680737462613974
56,0.22236895046715185,948.996145787623,0.033314233373695344
57,0.5134815901088542,907.4830791878362,0.03161726740530673
58,1.4681270340611259,1045.9647426758263,0.037101602376815236
60,642.1506599032109,1240.5072487438506,2.833157056096053e-07
61,0.9973909090733104,760.9703977759852,0.02622995839854455
62,0.0,0.03389692862870223,0.11478610358626631
63,923.7745928265009,8801.750315038595,0.019464628591041408
64,144911.01251460437,274559.925845284,0.058094370050375446
66,0.630739989412318,1008.9887922676938,0.03548998644659476
67,0.012648213583181012,721.77035899926,0.025173988569425182
68,1.6693326613859538,903.4243484065207,0.031616225103697174
69,0.14960612509879986,0.610004584296432,0.013048395307117877
70,0.7121811757131398,243.41106373472422,0.013215057282221653
71,123.53023343524606,965.7167589675141,0.03915264574825898
72,0.12938326690682309,0.5453908918285577,0.014873726148367104
73,0.5147350557809531,202.05594230444902,0.04607661937564226
