,lambda
140,0.14014267026351557
141,0.215961813635636
142,0.14462170175052674
143,0.19348601863860407
144,0.28938897100977307
145,0.07599605077981932
146,0.15684102612389583
148,0.1893928415961167
149,0.2574254872980027
150,0.1799804903271347
151,0.15909279227178916
152,0.23337724870049512
153,0.5166985667050377
154,0.34990052258736454
155,0.14241531002781568
156,0.14580593745301917
157,0.22888582191350115
158,0.1473967076221807
159,0.43568009273025693
160,0.27897334911316146
161,0.12725850378226114
162,0.1662548572116816
163,0.2944032660563214
164,0.13119383728013853
165,0.07707972112698033
166,0.2754087680868395
167,0.2704135314827433
168,0.16624822556575278
169,0.32446780697119054
170,0.0496250494291108
171,0.1617790320472588
172,0.15871367062902425
173,0.1523012697182001
174,0.09897607685292915
175,0.11666052055604993
176,0.1372656103109617
177,0.21428486632566662
178,0.20617808899153667
180,0.25458308397304663
181,0.10677349566747887
182,0.14195691349732875
183,0.3860319858881301
184,0.14983721416903878
185,0.2972936684116245
186,0.29373400952052175
187,0.17815160449399403
188,0.08932698140531209
189,0.10553870425134922
190,0.20683530295637473
191,1.5126069385696577
192,0.4331260064574898
193,0.14768650307257206
194,0.7184680271829808
195,0.2119468593335928
196,0.12225623861232729
197,0.12986911654718528
199,0.37009719669519014
200,0.21215655765826205
201,0.2269783250832376
202,0.3181511623619837
203,0.1702571443384401
204,0.08581000055307027
206,0.28565605124161697
207,0.07095681060080479
208,0.07345455476601397
209,0.1071581084680499
210,0.26754071384891126
211,0.18103982428591736
212,0.08604838203157655
213,0.9307106738340807
214,0.17023541878554507
215,0.1570079862036111
216,0.20386027481740532
217,0.46583519605701273
218,0.16696288463880973
219,0.27381395199049413
220,0.172657585478959
221,0.14805644179549274
222,0.17001501151671128
223,0.24647055410286867
224,0.39440977266599864
225,0.2973031857095142
226,0.2475550116540048
227,0.12485017671174076
228,0.33239609764829714
229,0.5218104248188954
230,0.13974972666185065
231,0.12859017811006787
232,0.03964495706006712
233,0.43164732506274384
234,0.23059282773291062
235,0.1667190710415005
236,0.12552540024311282
237,0.18338089227541715
238,0.12398557087936778
239,0.3591636114998643
240,0.04653473950639818
242,0.18727794348594787
243,0.24756986852344406
244,0.24604682220705063
245,0.11740166183987505
246,0.1952524399263395
247,0.15581705582948466
248,0.9297805459249884
249,0.1793313839413583
250,0.15013503081354465
251,0.4766656756166668
252,0.49669357315673884
253,0.2569525018747425
254,0.1723306902488877
255,0.20946593192269772
256,0.043243885782933277
257,0.15824576697395706
258,0.06005369224428344
259,0.21848931167469904
260,0.24591456556756444
261,0.09247936519115706
262,0.12194454636004504
263,0.133714162675753
264,0.20731044726599082
265,0.14708005507795743
266,0.14979607281739118
267,0.17238839099393913
268,0.1803349183105096
269,0.20253383324946173
270,0.3933784120842416
271,0.2633169625383421
272,0.3285145812517917
273,0.21663618974944157
274,0.20010416764279731
275,0.1099732534732387
276,0.12078986427797501
277,0.24228855757764042
278,0.6721161412561232
279,0.13579658719759508
280,0.2723434081947817
281,0.1356280017724463
282,0.3744172613468219
283,0.045771799013369065
284,0.15305058878857436
286,0.12618483998952582
287,0.04388468392307284
288,0.2501177354467253
289,0.08095846943157531
290,0.2818996351989629
291,0.19374114483538296
