,alpha,beta,lambda
109,0.007147686069051603,0.007556210995138629,6.4940467884367645e-16
110,0.01931904396878068,0.02792498229672505,0.010488005071930425
111,0.04244010624151334,0.04494329033763445,0.007192181456982986
112,0.0216527867424842,0.09755061475256305,0.009900941673023685
113,0.01900325057939454,0.0292953773074046,0.009380573347978793
114,0.02424678887629252,0.027371883537690718,0.006584584013766612
115,0.029651342192500495,0.03866883623907568,0.01110054485723451
116,0.022965673962617353,0.023853337235863057,0.00047165513170255156
117,0.012151509066793251,0.02144203448946216,0.012893492148997028
118,0.012344621848079149,0.015918001014025046,0.0030110161115539298
119,0.02072016432503595,0.023105470998947473,0.0043572635476825175
120,0.0036198316505124685,0.0036198316505124685,1.2578301956125882e-17
121,0.01258042497281339,0.013263155833522318,0.0012070137841630236
122,0.010038022365658731,0.010546792028535746,0.0015119536397025823
123,0.010464975019498574,0.02596817459346659,0.009613529682409784
124,0.011762948151063516,0.012858935961884222,0.002481197611371194
125,0.022220822883136968,0.03180450612903673,0.010368921005214159
126,0.011151763888300921,0.01147274994174323,0.0006510371968804307
127,0.0033708785718541885,0.0033708785718541885,4.402483809713597e-17
128,0.019367292484660664,0.029595020692800088,0.010121613234097715
129,0.010625659248457793,0.01104012130669372,2.886008269995791e-06
130,0.0343280182838435,0.04096304013875064,0.016382867486102903
131,0.013637291500154199,0.024723758149793464,0.00796346418451085
132,0.01273124537354696,0.013216870187400745,0.0029377171328495025
133,0.016958415363795137,0.01759307390797148,0.0008594102351625061
134,0.024510700172106693,0.03271963740207397,0.008092885787174167
135,0.016509082208279093,0.023452975376263615,0.008974451959344182
136,0.026453238476240593,0.03014856452267616,0.00495080288565662
138,0.024419750429630908,0.025272040115296542,0.0018763176530500012
139,0.01378067844466077,0.023777474002342994,0.010851529590324071
140,0.00747741839959912,0.008126944835452085,0.0008313285297398606
141,0.007595315227948671,0.007595315227948671,1.8092060988200894e-16
142,0.015273171007435665,0.029979890978151055,0.01187638638796005
143,0.009291371519333956,0.010335320832800313,0.0006824807408142539
144,0.020025971000891974,0.04020241150992328,0.024031002960362903
145,0.01519422025592533,0.01703872332109979,0.002105931067623464
146,0.02631879725959393,0.034080333664184524,0.005903195514997179
148,0.01671140579497809,0.024846316625064098,0.010376290839350925
149,0.018415015722377283,0.024872763807009517,0.011944847765822095
150,0.009978091755462408,0.010782733786864456,0.0017441806394097557
151,0.01631742687097554,0.017850025905756718,0.00466455669728646
152,0.022737971487893707,0.04296402827857096,0.018976817947255437
153,0.03844134364817873,0.046986022179850956,0.015620912527297266
154,0.005453298917993041,0.9852977443616648,0.05801494805444314
155,0.014224395841037884,0.02306139560049994,0.009432760289811264
156,0.01289265657788644,0.034312876575490585,0.014939729384290959
157,0.010717713802740472,0.012752981608761038,0.005241360855236298
158,0.016507515965838587,0.023488334547474607,0.007415801866383112
159,0.011370289531258829,0.012250545358354873,0.0003539480449418959
160,0.019344949198367715,0.019578188821697914,0.0012148377030200025
161,0.01543791216973846,0.024508477131091437,0.008274093461477798
