,lambda,alpha,alpha_prime,beta,beta_prime
1,0.0042893901950226,0.01305639696008378,0.0179229798948422,0.031378094941084,0.05129405162965584
2,0.0009572698958339331,0.18576521722638456,0.012679366915237012,1.0045654592482893,0.016322981531932908
3,4.247778146615539e-05,0.03915418053871918,0.003155650284142047,0.09973182662245064,0.0052096293240492305
4,0.007389633252428222,0.2292096834345116,0.007624453539649599,1.0026319491552846,0.023493655165292567
5,0.0011228298753825283,0.13534891888174522,0.009782096679510124,0.6956084669621985,0.013201572699029347
6,0.00015957086675893076,0.12878635796894713,0.009523439714432117,0.597304228442721,0.012415755574819158
7,0.008904641541699752,0.1816384178273566,0.014184264451887377,0.8506228257875358,0.03192609775327016
8,0.008165167755653199,0.023369499895304565,0.018588887239098916,0.031220932464129856,0.16343745680481625
9,0.0028971780431383378,0.38536087421284454,0.010761802577375143,1.2566236669499276,0.018450238017429503
10,0.0021801818166115785,0.3412821038331643,0.007107799708953873,1.1386145383809168,0.011558151642144368
11,0.0012261163783055366,0.1130683467544698,0.014084035625893148,0.905480500447009,0.01668715528716728
12,0.0011708133713559327,0.15027554584018568,0.009527239802034241,1.0636081377208824,0.011250612077097207
13,0.0022592986423474342,0.17853595943968106,0.007552538879063795,1.1025097191414681,0.010657037262569063
14,0.008980664156350614,0.03549006137129428,0.0055859184942715625,0.04566531269150754,0.052046210635796446
15,0.002590533629261472,0.20985561689628532,0.008571285796304909,1.035301941646127,0.012456069666128443
16,0.006567445278919573,0.10666948837165342,0.014633140119948393,0.5847519420483989,0.02391767657295553
17,0.004906760433060685,0.12372183225762322,0.014808410321397451,0.7610671490174562,0.020889967322172395
18,0.00242542771475761,0.214682616059059,0.00904988821314052,1.0034762086027798,0.012275595477344345
19,0.0019858659344188577,0.15165170570748626,0.0073435992231738224,1.0815183628037894,0.009225131630713252
20,0.006224728060976132,0.11482208678462685,0.009636855189016845,0.607751982529952,0.022213283760921153
22,0.0029116157850193627,0.10885683491013189,0.013577186843671601,0.9354478490509112,0.017176852462220914
23,0.0027078091318935844,0.09759864955552443,0.012167692942509996,0.972317761547114,0.01588118390561675
24,0.002766460983339227,0.1670279253693046,0.012225510423889356,1.0234633274876264,0.01623736258446737
25,0.011367307276828355,0.14592613895889867,0.010990443707829188,0.5507967665739085,0.027866090660146156
26,0.00954215262703275,0.1251266291267379,0.03387145505187275,0.9330621484566084,0.09286339248363018
27,0.003271654107463676,0.01847334998931892,0.02489089810575367,0.028301725131654458,0.13931557588906876
28,0.003008871638145366,0.18736752665262887,0.01591934799307577,1.114630178618031,0.02067033502335488
29,0.006261721919837089,0.016982690472801133,0.017206991080487195,0.033347512117074554,0.05504631888026605
30,0.00549436006371951,0.019790208959840027,0.012895537713134746,0.053795226184721184,0.02793445726902473
31,0.006381651885247314,0.017790992221936242,0.013930367312902045,0.03317440980708299,0.048087796413898494
32,0.005971326604334585,0.11585050973919732,0.010000901047066567,0.5466720546532553,0.015835729104780084
33,0.007394722590200216,0.1861835300584453,0.014505014711065798,1.042175190483633,0.02315352569310853
34,0.008354549404460818,0.1872754469260576,0.013046275931565803,1.1715768716225532,0.030005782693916055
36,0.0032928018000028315,0.2188324932121546,0.019116953239364572,1.2084017031024124,0.025454359276847298
37,0.009505938363946491,0.10363283430981306,0.015223989048248565,0.6128151018965946,0.026606147598392534
38,0.005081779643998949,0.14828216775771808,0.009948101080349844,1.0059179795661883,0.016044599839534768
39,0.008255682516212512,0.2032395379137524,0.01080615709965147,1.0299490576312142,0.016091197514531162
40,0.004363124918429266,0.20658269505217866,0.011402185213231688,1.1378818883957782,0.01646577288372634
41,0.000793898747256567,0.019491383988624145,0.004519909931482213,0.04180099001988377,0.0101186995259934
42,0.0057099254028391035,0.015319957295011748,0.007135993254700868,0.023797543570835807,0.04696915873137829
43,0.004318335628351168,0.17573965067380012,0.01762154580590356,1.0573870805823165,0.023683047252834724
44,0.00471584182752073,0.027799644344885337,0.022190087397773665,0.03776957319047367,0.3641475004912767
45,0.0036702345798422815,0.024735958849228266,0.011918635865339706,0.04519078979839662,0.02866530202067491
46,0.00551803644046613,0.01782654879099794,0.019488520634016647,0.04161777380318418,0.04274953094835989
47,0.006820838861211521,0.022560719742087114,0.020939764436640695,0.041004064096864204,0.06542813031106003
48,0.0018617735702128521,0.3464238342025772,0.009182441633079004,1.170880220394328,0.014736597674377367
49,0.0006106049779986178,0.1660661677546317,0.005505710003830816,0.5685432115297927,0.008702628492779923
50,0.005639506919313752,0.019354634719976775,0.010021816738895533,0.061034250911244856,0.02207010803043241
51,0.006634717719597296,0.15134222660403693,0.012609483138627645,1.0299119339848888,0.02680186938527717
52,0.005816427697937285,0.11254084754916031,0.013886353305907167,0.9728071547499001,0.022576282595743548
54,0.0042449308463527345,0.10841551654937727,0.014984881559348328,0.9476964512729534,0.020145673476708655
55,0.002405251675036407,0.06687026128656456,0.013710907798876206,0.33335060019754026,0.018925671526937277
56,0.0026725450904942854,0.12983898940793406,0.01602059577651319,0.9072752109067561,0.020328762090942705
57,0.0019227206488326603,0.01636298199674536,0.010746328226504061,0.022475549151256387,0.05407639408899238
58,0.001852818171592564,0.17717323085572986,0.008511374495104982,0.914635710338357,0.011364331581803954
60,0.0066701795454016674,0.18149157907346647,0.03129724910104336,1.2000672593097086,0.06262957038180211
61,0.008014798302721901,0.015479439429761214,0.013816280981708295,0.027336343269109727,0.1127726180007995
62,0.007195436242161718,0.012494315552048827,0.021973270360646682,0.023777076953188987,0.1612030538230641
63,0.010843867843297685,0.07918029953805289,0.01055071716853418,0.5152901393691901,0.03264383381873807
64,0.005810892570648373,0.2516198206200683,0.006710116877109489,0.8853622399186079,0.01181722179828099
66,0.0013737441645950313,0.017166623398849473,0.022919816570741526,0.025982838623167227,0.07425381869081193
67,0.0005913531272209986,0.10741805628617127,0.007115076980891468,0.6882024745604073,0.008446722677092705
68,0.0034191803355053795,0.010183385930009855,0.05236865448034516,0.0202401771417244,0.13169198755062475
69,0.005915068689483771,0.15484485205776696,0.0069865596342465,0.7166940266650434,0.016045120951881413
70,0.0063575061347928745,0.12749212040708455,0.01207707065891945,0.8261805279144397,0.02926090872346898
71,0.0029271462080577514,0.02180589562258454,0.038366722852365094,0.03162328538543632,0.16024006776156055
72,0.002133011632951357,0.16959994724959832,0.010537471246101219,1.068728499312984,0.01481984356508683
73,0.0029697167962550704,0.14995712657186755,0.011600145946827387,0.8789815497485515,0.015284041617307946
74,0.008867749366830905,0.16429105734023133,0.022541694231843882,0.9236491665847874,0.03126481899295912
75,0.0035203711801548776,0.1592883725641184,0.012303541645560582,1.0545454758896082,0.017483982175250466
76,0.005341136922483851,0.17727083351749015,0.012967421479170127,0.960524672992308,0.02249504945874191
77,0.0019969796633012423,0.11938286248661902,0.013337524513995013,0.7786053043913358,0.01685570976928718
78,0.005007266563118445,0.09111870842700037,0.012713897889866741,0.6716354154791506,0.019727250870541183
79,0.0009711934306452839,0.21566268779967204,0.003380884822051706,0.8948156419655894,0.005144985001661011
80,0.0059930197956153735,0.015207671178899507,0.024404218842889576,0.02270052515202406,0.18287991407299894
81,0.0030130181284685155,0.14346556052588608,0.011921308511052171,0.8597105432734384,0.01703886853673911
82,0.00028984060565655597,0.1769836337153873,0.0059488551328499475,1.0006287657657267,0.006962339493000262
83,0.002258713222733626,0.35814599853315077,0.010493060454805735,1.0787128221404978,0.01675146956047367
84,0.0030351633215776864,0.013924246732772726,0.010614227664021295,0.022366014512189166,0.0944677651407557
85,0.016082785122957317,0.1539312618198925,0.017095253622141197,0.662898842372494,0.04162907011615364
86,0.010639724813889714,0.10377603631494232,0.008111006664565384,0.4942423217265063,0.03712177364887395
87,0.0012611130563204903,0.15374118663218175,0.009904976202359904,0.9779143341047529,0.01272253822265969
88,0.0011822954259488854,0.1614893692801246,0.011037154056487563,0.7732760717033399,0.014597887261615039
89,0.00806711073600183,0.15486396780186065,0.018969361239126046,1.0861003252588988,0.031399305538007016
90,0.003829790203505152,0.19423175202696133,0.008593631030017647,1.154144491140151,0.018380836192474166
91,0.014207169901323124,0.11476216115170967,0.01262341601063518,0.71507453241627,0.036704672580895825
92,0.0076539280335922374,0.18486985413067544,0.009640607507743522,1.0038792320217493,0.020235791884017224
93,0.004942417501481064,0.017616395775691067,0.01859025230970139,0.03317505715253516,0.0546739358948806
94,0.008749801805121953,0.02058539722105933,0.025464990179373977,0.02931686170952756,0.18862093632360258
95,0.0036234794101974543,0.11589086532857994,0.013402253438976641,0.8556140910050035,0.018030726747745352
96,0.003446937812064641,0.017644148904241725,0.006851453929095303,0.03585739558131117,0.021760718053340587
97,0.006821146996689097,0.1144995396037812,0.016311378745638996,0.8967373794476017,0.024181533344031884
98,0.006870731721837814,0.18961165973891095,0.014073629122737456,1.0790119993598386,0.02110892187726761
99,0.001978203965979932,0.21065647895206918,0.021311062150847774,0.9687035670362488,0.028497298373008906
100,0.005359979915810932,0.24099713384690089,0.01299550910760702,1.1798164384385634,0.02000125598359678
101,0.0010315460032681472,0.1794323570007057,0.0216556328319089,0.9132308275621861,0.029678680289565634
102,0.003986325045035864,0.2303741453432152,0.028120327547058965,1.3369754314453797,0.04099552318033206
103,0.0036801127455420206,0.09218956214157958,0.012255100869554897,0.944543249473652,0.018180874943319526
104,0.010097332458961342,0.1126954704588147,0.011764510780535652,0.2463151000757226,0.036682975058914324
105,0.008153265958121133,0.09486508563077752,0.020571037794571194,0.4529056504484784,0.034733165110450936
106,0.0002451869635025576,0.21981570701477077,0.005498133364097872,0.6413812361939916,0.008623875614515273
107,0.010772359913504035,0.08605380413727581,0.01595618231979987,0.6195114127946251,0.02834943651874717
108,0.0012757598872808632,0.06547242941573846,0.0029132664971615123,0.1510169936922825,0.006294486210382219
109,5.843968762014126e-15,0.19909402019302733,0.004978747666869449,0.5815201925229492,0.008006286560202858
110,0.00472256907637081,0.016153697641461746,0.013956258783960535,0.03300313267321568,0.03721056903383775
111,0.004696138266836096,0.341189042447607,0.03014242894145598,0.9955335609004816,0.04856014386839395
112,0.001973428986924894,0.022304697382663042,0.017026103436872855,0.030477072851213004,0.1605722365101343
113,0.007798999422034292,0.1255848411699733,0.01585578655984952,0.7839450147373165,0.029042095294444074
114,0.005995075634763171,0.27266334303616263,0.018984094812846217,1.1600263601356937,0.028734385685323268
115,0.008102715075469492,0.20346344639744932,0.020023760658034316,0.9117617678481593,0.03307763972239745
116,0.00046670718940335646,0.21875468143363697,0.014922339417811379,0.7048314272641781,0.02252466087296521
117,0.00483462754699442,0.015517812643890148,0.005802696365755997,0.0248106648771294,0.027366125790060283
118,0.002712162386631976,0.16329104682033957,0.010674248717511057,1.100933878872112,0.01640156150620676
119,0.003539589688045194,0.09416446322891162,0.018104766639882638,0.6675770816197893,0.023373242201028457
120,0.001746530127905107,0.01684843888964659,0.022076328981402105,0.025760474007941243,0.11197713382837374
121,0.0011671967005047461,0.1009538218154056,0.010234502090348463,0.5747099453925133,0.013230613852962748
122,0.0016284960420461458,0.1759667567783987,0.007695048341027769,0.7839349268472816,0.010628789695857992
123,0.00840640213976585,0.1087615827580091,0.008647264406412137,0.6580077983620708,0.028424031482974003
