,alpha,beta,lambda
97,0.014870041729267819,0.01878473184242423,0.007020517984293974
98,0.1467474397976987,0.5511688549055304,0.026297188203448587
99,0.029879336612453716,0.033801562489769205,0.008488913522151724
100,0.21719079703380728,0.8093701185108189,0.02428259370878934
101,0.027978095245324387,0.03216250084447852,0.006995850363610986
102,0.1613071856038857,0.5357503339347353,0.020830240094649947
103,0.071012758670923,0.42760247104247295,0.012655573997496061
104,0.055014248402426705,0.08098059656411137,0.01491794819711173
105,0.02004779516655321,0.02501874931508973,0.007296524103257307
106,0.0336128749997157,0.041178895834022955,0.005046808983515225
107,0.014006294800033854,0.01802076790455167,0.007621486041864476
108,0.0255528738696908,0.03396395375897313,0.0067858203570258825
109,0.034756132289775005,0.03827348805919435,0.00790770269025962
110,0.01651926040284726,0.021029341817309716,0.0065055824710702394
111,0.08700587923386609,0.0968772724975114,0.015327138423956698
112,0.023486091453254723,0.030416438247766145,0.0030373027626907174
113,0.01422868893166864,0.019564129948979152,0.00673940779965716
114,0.026139867601393658,0.03025128381703533,0.007764342396154836
115,0.023269096711800004,0.029714140424096078,0.010975336269752903
116,0.04167722319586127,0.04540334654013139,0.007814809144129787
117,0.015266959097004137,0.01896517365617627,0.005549544051758249
118,0.012238389170511814,0.017600917399328137,0.004614272972690102
119,0.01797543669946924,0.021001513454128734,0.006147590255399972
120,0.019366232745279266,0.027455889255707952,0.0034954334273359774
121,0.016812589243808376,0.022304066903749812,0.00592630925856793
122,0.020062634895067308,0.025711309261304948,0.007297689969129954
123,0.11542467825632147,0.6439433486423869,0.01200370697837165
124,0.13958753592731585,0.6974175509825921,0.01263838786670291
125,0.14447355670601206,0.5457043774323838,0.0252561248660405
126,0.021135880177080773,0.026326443947566672,0.004528418791676529
127,0.01878815327964063,0.027188731170143796,0.003992917731398001
128,0.014288114550876575,0.018850753793288162,0.006954996260177392
129,0.027237093688524002,0.031210059691722147,0.005503458327074166
130,0.24369670244875735,0.43936627262931816,0.049278305753431326
131,0.12853773029779123,0.8163155427831658,0.01442433992297003
132,0.028641811385808916,0.03206234675887979,0.010518707635809478
133,0.02518249867766171,0.027298205213575247,0.005027819386243999
134,0.29331337184751977,0.8588375765530292,0.01958247861355598
135,0.016525453749511976,0.02176384479799071,0.007635664450926916
136,0.23370766464702716,0.555534129776456,0.02216352849394059
138,0.06348231623668754,0.0797758922349589,0.012243169073949506
139,0.014751985376429202,0.02150383344173431,0.007929536336810669
140,0.018443202278130334,0.025180480905662612,0.00626184019941993
141,0.027948889692859455,0.031732848674942804,0.004299625696467991
142,0.11623327434658559,0.7014327209082031,0.020110755711625482
143,0.021804486967203628,0.02710668478507883,0.006319242905153975
144,0.01918699543912107,0.023365519408593986,0.008641032551625672
145,0.19794696823754984,0.7330184437193672,0.009249300046356239
146,0.204120198816511,0.7950751166277944,0.01943120165761048
148,0.013469155795252026,0.016875011551994848,0.006394009864353268
149,0.01854446843436032,0.02266869144625739,0.007819765107186844
