,0,1,2,3,4,5,6
1,0.0036280444942561538,3.9687531642818325e-12,4.955561657995801e-14,3.971255485918928e-12,0.0002958565785198633,2.8994584095257706e-17,0.0002958565785198633
2,0.001038007856258836,0.015845851075290993,1.6329171776558805e-14,0.015845886730702075,7.907042364607526e-20,4.783324167689909e-13,3.7941100536385105e-16
3,7.101772913044221e-15,0.004676180818111795,1.4422479619103827e-14,0.004676180818111797,4.0086360603009045e-13,1.1256072511093604e-15,4.27833178765054e-13
4,1.1926792935977519e-14,0.0004960910295824434,2.2624593831428915e-14,0.0004960910295824521,1.700249916709798e-13,1.923072068865837e-15,1.8574849467537888e-13
5,7.745126444021438e-15,1.9228343387706234e-13,8.189352932628717e-16,2.070638271208457e-13,0.011265514454362689,2.3664441401869126e-14,0.01126551445436269
6,7.529123463432831e-15,2.370138076479072e-13,8.213527471148948e-16,2.542869730698957e-13,0.011551972557344331,2.2682327023782097e-14,0.011551972557344333
7,1.4006030401055905e-14,1.8582945663955718e-13,1.4713793935802363e-15,2.0246859832790876e-13,0.0006618236997441225,2.4174397070062577e-14,0.0006618236997441301
8,0.006178693127831669,2.65717754076484e-18,2.3724142366306325e-24,670003.8674314623,0.0002507564539873799,1.1020475050228352e-17,0.0002507564539873799
9,6.270227526676458e-15,2.063950517019818e-13,7.516477210513956e-16,2.2530083266279925e-13,0.011725886583307074,2.0456546108241172e-14,0.011725886583307078
10,7.718688579646938e-15,2.5081991304843123e-13,8.752933019920342e-16,2.670316555414924e-13,0.008510610644033094,2.3434392380941924e-14,0.008510610644033096
11,0.001194964263281033,0.01630465432903718,2.092690618358214e-24,0.016304654329355933,7.13117574072415e-16,3.1211879445807523e-18,0.021688794927427698
12,7.834616843499616e-15,2.514502698256336e-13,8.355357203979684e-16,2.687004785277615e-13,0.008802167076309781,2.2237601983647628e-14,0.008802167076309783
13,0.001480901506667641,1.6773451091281093e-26,2.765505527791512e-24,5.320868665150619e-06,0.00889718243357014,3.5023932962419416e-09,0.00889718243357014
14,1.1070306078134386e-14,1.362475921691422e-13,2.1433930057372636e-15,1.5089103867425333e-13,0.00022532559439589382,2.9241682356508e-14,0.0002253255943959111
15,0.002169906131670911,1.1265971835975415e-15,1.1646050181854708e-20,1.1265971836144423e-15,0.012453766381880501,7.61741356849913e-14,0.012453766381880503
16,0.005466472522830435,0.020668748382328562,8.442849749325243e-17,0.020668748382328617,3.6899315239816505e-13,2.41997759646485e-30,283.8227908158184
18,0.001367685552690501,1.7472915295432012e-07,4.8125954510382664e-30,1.7472915295432012e-07,0.011333755621005956,3.2509865506310076e-29,0.011333755622801893
19,9.515572521602169e-15,4.145067905388475e-13,1.0031248798424715e-15,4.4208302710237727e-13,0.004488255560959696,1.1515238845440655e-14,0.004488255560959698
